Results from query to  NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:37:35PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
143,CGCG 456-032,1.9764,20.41237,G,7843,0.026161,S1L,15.5,0,33,0,50,11,6,2,0
144,CGCG 517-019,1.97713,39.71736,G,13314,0.044411,SUN,15.4,0,13,0,23,10,4,2,0
145,IRAS 00053+5323,1.98411,53.66872,G,11312,0.037733,SUN,,0,2,0,4,1,1,0,0
146,WISEA J000759.05-565128.1,1.99604,-56.85792,G,9773,0.0326,SUN,16.27,0,8,0,38,10,3,2,0
147,NGC 7836,2.00682,33.07077,G,4904,0.016358,SUN,14.4,0,70,4,59,21,15,5,0
148,UGC 00066,2.02849,9.71787,G,6420,0.021415,S1L,14.46,0,38,1,41,16,11,7,0
149,WISEA J000809.88-594228.1,2.04129,-59.70781,G,9014,0.030067,SLS,15.73,0,8,0,37,9,3,2,0
150,UGC 00068,2.04279,27.00425,G,8775,0.02927,S1L,14.36,0,43,1,50,19,15,7,0
151,UGC 00069,2.04562,27.52814,G,4637,0.015467,UUN,14.49,0,38,1,46,15,11,6,0
152,ESO 111- G 014,2.07808,-59.51561,G,7787,0.025973,S1L,14.39,0,33,1,53,16,10,16,0
153,WISEA J000818.95+080715.5,2.07885,8.12107,G,5121,0.017082,SUN,16.76,0,9,0,37,10,2,2,0
154,2MASX J00082041+4037560,2.0853,40.63241,G,13389,0.04466,SUN,16.78,0,47,0,28,10,6,2,0
155,NGC 0007,2.08733,-29.915,G,1495,0.004987,SUN,13.47,0,67,3,48,22,21,15,0
156,2MASX J00082945-0717409,2.12285,-7.29468,G,8516,0.028406,SLS,16.11,0,6,0,23,5,3,2,0
157,KUG 0005+345,2.12758,34.78572,GPair,10406,0.034711,SUN,16:,0,6,1,6,6,1,0,0
158,WISEA J000834.02+553041.1,2.14179,55.51139,G,5155,0.017195,SUN,10.7K,0,15,0,36,7,5,2,0
159,NGC 0010,2.14392,-33.85833,G,6804,0.022696,S1L,13.3,0,58,1,55,18,20,18,0
160,MCG -01-01-036,2.14908,-5.21675,G,11751,0.039197,SUN,15.23,0,23,0,40,11,7,6,0
161,UGC 00072,2.15915,-0.73533,G,11876,0.039614,SLS,15.18,0,37,1,57,14,11,11,0
162,NGC 0011,2.17708,37.44792,G,4389,0.01464,SUN,14.59,0,37,0,47,17,11,7,0
163,NGC 0012,2.18646,4.61253,G,3934,0.013122,S1L,13.8,0,54,1,58,18,11,7,0
164,NGC 0014,2.19333,15.81556,G,863,0.002879,S1L,12.71,0,113,3,47,28,21,8,0
165,NGC 0013,2.19883,33.43333,G,4811,0.016048,SUN,14.01,0,61,2,43,20,14,7,0
166,WISEA J000847.86-003729.7,2.19941,-0.6251,G,12044,0.040173,SLS,16.5g,0,18,0,69,10,6,10,0
167,UM 205,2.19975,-2.41175,G,3708,0.012369,SLS,15,0,12,0,22,5,1,4,0
168,NGC 0009,2.22792,23.81697,G,4528,0.015104,SUN,14.35,0,71,3,44,16,10,7,0
169,WISEA J000856.54-555653.3,2.23563,-55.94814,G,11050,0.036859,SLS,16.04,0,7,0,32,7,3,2,0
170,WISEA J000857.63-083608.8,2.24025,-8.60258,G,5416,0.018066,S1L,15.23,0,12,0,34,7,6,2,0
171,ESO 349- G 033,2.26429,-32.91414,G,6890,0.022983,SUN,13.7r,0,40,0,43,11,13,18,1
172,NGC 0016,2.26788,27.72942,G,3100,0.01034,UUN,13,0,98,5,53,16,11,6,0
173,KUG 0006+102,2.26908,10.56556,G,10883,0.036302,S1L,15.6,0,13,0,40,11,4,2,0
174,WISEA J000907.89+142755.8,2.28295,14.4655,G,12420,0.04143,SLS,15.9g,0,37,0,74,17,11,10,0
175,MCG -01-01-040,2.29546,-6.92511,G,12076,0.040281,SUN,15.11,0,12,0,36,8,5,3,0
176,WISEA J000922.58-534921.2,2.34379,-53.82264,G,9710,0.032389,SLS,15.63,0,7,0,36,8,3,2,0
177,2MASX J00092510+2632491,2.35468,26.54694,G,13084,0.043645,PUN,16.51,0,5,0,24,6,1,2,0
178,UGC 00085,2.36937,47.35583,G,5168,0.017239,S1L,14.3,0,35,0,42,12,8,7,0
179,AM 0006-375 NED03,2.37571,-37.55267,G,8649,0.02885,SLS,14.42,0,28,0,44,12,8,4,0
180,NGC 0006,2.38625,33.30867,G,4901,0.016348,SUN,14.04,0,38,3,34,15,9,7,0
181,WISEA J000935.40-121700.7,2.39692,-12.28342,G,13993,0.046676,SLS,16.8b,0,6,0,37,7,3,2,0
182,IC 1531,2.39824,-32.27701,G,7687,0.025641,SUN,13.8,0,89,1,70,35,17,22,0
183,WISEA J000941.17-003152.5,2.42152,-0.53123,G,12167,0.040584,SLS,16.99,0,11,0,54,8,4,6,0
184,WISEA J000941.71+394727.7,2.42396,39.791,G,13220,0.044098,PUN,15.7E,0,4,0,35,6,1,2,0
185,WISEA J000945.35+061202.9,2.43867,6.20083,G,13016,0.043417,SUN,11.4K,0,14,0,44,12,6,2,0
186,NGC 0022,2.45079,27.83231,G,8312,0.027726,UUN,14.43,0,50,1,43,17,15,6,0
187,MCG +05-01-037,2.45358,28.68992,G,10560,0.035224,SUN,15.83,0,12,0,32,7,3,4,0
188,NGC 0023,2.47254,25.92378,G,4565,0.015227,S1L,12.85,0,350,11,188,68,38,14,0
189,NGC 0024,2.48558,-24.96314,G,554,0.001848,S1L,12.38,0,250,7,123,40,21,19,0
190,UGC 00092,2.50829,28.21014,G,8172,0.027259,S1L,14.5,0,40,1,42,14,12,7,0
191,UGC 00091,2.51258,28.15031,G,8204,0.027366,S1L,15.57,0,31,1,33,13,6,5,0
192,UM 207,2.52763,-0.43597,G,9638,0.032149,SLS,15.6g,0,36,0,62,15,11,6,0
193,MRK 0937,2.54158,-4.71044,G,8846,0.029507,UUN,14.7,0,62,3,52,14,10,3,0
194,UGC 00093,2.56954,30.84947,G,4955,0.016528,S1L,14.8,0,41,0,45,15,7,9,0
195,ESO 241- G 021,2.58325,-46.41942,G,6004,0.020027,SUN,14.29,0,46,2,45,14,10,16,0
196,NGC 0026,2.60779,25.83183,G,4593,0.015321,SUN,13.62,0,103,3,60,23,19,7,0
197,WISEA J001032.70+291657.5,2.63625,29.28261,G,8308,0.027712,SLS,16,0,9,0,32,8,5,2,0
198,NGC 0027,2.63654,28.99625,G,7849,0.026181,S1L,14.45,0,58,1,50,19,17,7,0
199,HD 000616,2.64041,0.77559,!*,8994,0.03,PUN,13.4g,0,1,0,41,6,1,4,0
200,UGC 00115,2.64995,88.33477,G,1983,0.006615,SUN,16.5,0,12,1,18,7,2,3,0
201,MCG -01-01-045,2.65329,-6.63972,G,8166,0.027239,S1L,15,0,16,0,36,7,6,3,0
202,NGC 0031,2.65996,-56.9865,G,9601,0.032025,SLS,14.59,0,21,3,43,12,5,16,0
203,KUG 0008+163,2.66153,16.58915,G,10434,0.034804,S1L,15.2,0,18,0,27,10,7,2,0
204,CGCG 382-029,2.66394,-0.05289,G,11635,0.03881,SLS,15.0g,0,45,0,79,18,16,12,0
205,MCG -05-01-039,2.664,-29.25302,G,7756,0.025871,SUN,14.92,0,15,0,13,7,4,1,3
